days.since.hatching	length
11	0.01881036
11	0.016226186
11	0.017244584
11	0.018851283
11	0.020136891
11	0.021220203
11	0.018958124
11	0.018501339
11	0.018896049
11	0.017689359
11	0.019491052
11	0.018938306
11	0.015926773
11	0.019270721
12	0.02321791
12	0.025052172
12	0.025492613
12	0.024821914
12	0.024673119
13	0.070792739
13	0.013667273
13	0.02256427
13	0.022412816
13	0.022139363
13	0.01838545
13	0.024455154
13	0.023505945
13	0.025566779
13	0.025348118
13	0.018033841
13	0.024531748
13	0.025205501
12	0.018075038
12	0.018153697
12	0.017490305
12	0.0184016
12	0.015232815
12	0.013456942
12	0.020469342
12	0.025061342
11	0.019668939
11	0.017737771
11	0.013763007
11	0.019802474
11	0.018072577
11	0.018573737
12	0.023329102
12	0.022805375
12	0.02428669
12	0.022997211
12	0.023484336
12	0.021961579
12	0.024560092
12	0.023400162
12	0.022889575
12	0.019893764
12	0.023866058
12	0.025206174
12	0.019253479
12	0.026106417
12	0.02433854
12	0.020531693
12	0.024844473
12	0.025064334
12	0.01862345
12	0.023809245
12	0.024227239
12	0.023814181
12	0.024602264
12	0.023842871
13	0.02864922
13	0.02799942
13	0.027962824
13	0.027258699
13	0.024755492
13	0.027058363
13	0.028920699
14	0.025352353
14	0.023714163
14	0.026521151
14	0.026819471
14	0.022369582
14	0.025361075
14	0.025953484
14	0.023071123
14	0.027826435
14	0.022846013
14	0.026779878
14	0.022890343
14	0.028454501
14	0.024697654
14	0.0201831
13	0.024479341
13	0.023428233
13	0.014874123
13	0.016616346
13	0.022247416
13	0.025095136
13	0.023756719
13	0.022113482
12	0.023729367
12	0.013621155
12	0.023412857
12	0.018390593
12	0.018663305
12	0.017381898
12	0.02365968
12	0.023394866
13	0.024588431
13	0.025681501
13	0.025380392
13	0.025428201
13	0.02360546
13	0.026458491
13	0.022423145
13	0.025126655
13	0.029750735
13	0.021446454
13	0.024846285
13	0.020218533
13	0.023000554
13	0.024322345
13	0.027262733
13	0.027649139
13	0.021676473
13	0.025088673
14	0.031128594
14	0.03158375
14	0.03197921
14	0.02962651
14	0.032586049
15	0.035037208
15	0.027748021
15	0.028583642
15	0.028812187
15	0.023208659
15	0.016195791
15	0.021438462
15	0.033690554
15	0.035602763
14	0.024876113
14	0.025703936
14	0.028196429
13	0.023114528
13	0.023520834
13	0.023377
13	0.024250752
13	0.022535515
14	0.030957981
14	0.041958207
14	0.027782286
14	0.031584671
14	0.02771683
14	0.016201455
14	0.016302848
14	0.030534381
14	0.008492918
14	0.018551805
14	0.037618577
14	0.027414772
14	0.027611099
14	0.026847068
14	0.038120242
14	0.031358929
14	0.030529437
14	0.031022932
14	0.032402699
14	0.030387567
14	0.030318767
15	0.035504744
15	0.032649152
15	0.037220379
15	0.033413445
16	0.024478413
16	0.028805246
16	0.03314991
16	0.031000218
16	0.031481327
16	0.025110323
16	0.026077891
16	0.034136892
16	0.037382102
16	0.033916255
